Country Name,Renewable energy consumption (% of total final energy consumption) - EG.FEC.RNEW.ZS,"Annual production-based emissions of carbon dioxide (CO2), measured in million tonnes",Adjusted savings: carbon dioxide damage (% of GNI) - NY.ADJ.DCO2.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) - NY.ADJ.DRES.GN.ZS,Cluster
Angola,56.78549957,37.679,1.440150531,22.40689034,4
Albania,38.26639938,5.403,1.244827633,1.007232226,0
United Arab Emirates,0.259200007,188.541,2.035783486,5.148113026,0
Argentina,10.52079964,185.03,1.572325947,1.659069943,0
Armenia,11.13300037,6.297,1.754915846,0.50495198,0
Australia,9.645000458,415.954,1.047725442,2.570014338,0
Austria,33.84560013,66.72,0.536026743,0.061017182,0
Azerbaijan,1.971300006,37.488,3.286613289,18.57628585,4
Burundi,85.52690125,0.568,0.76075869,10.93341613,3
Belgium,10.6626997,100.208,0.686215702,0.000511953,0
Benin,43.97230148,7.76,2.016244084,1.614407693,0
Burkina Faso,66.96620178,4.14,1.058427552,6.399703823,3
Bangladesh,30.70619965,85.719,1.355874746,0.510576012,0
Bulgaria,19.52750015,43.552,2.541997484,0.309921902,0
Bahrain,0.0,31.594,3.564842618,3.912063607,2
"Bahamas, The",1.019299984,2.03,0.612023879,0.0,0
Bosnia and Herzegovina,35.40090179,22.086,4.519429338,0.18251254,2
Belarus,7.219799995,61.872,3.942518043,0.419376701,2
Belize,40.11629868,0.612,1.351238288,1.252232988,0
Bolivia,7.572500229,22.346,2.411092153,4.344104996,0
Brazil,47.06169891,466.649,1.055256819,2.059707523,3
Barbados,5.835599899,1.207,0.998806888,0.276339175,0
Brunei Darussalam,0.0109,9.56,2.179416733,16.59087659,4
Bhutan,81.09359741,1.662,2.819866337,1.232779125,3
Botswana,28.19890022,6.815,1.593391622,0.372722352,0
Central African Republic,80.94850159,0.3,0.587510308,0.041360382,3
Canada,22.18289948,586.505,1.274008207,0.614305058,0
Switzerland,24.2031002,36.895,0.188400889,0.0,0
Chile,25.46069908,85.829,1.211821395,3.116923608,0
China,13.12380028,9956.569,2.984143625,0.855227711,1
Cote d'Ivoire,63.5326004,12.514,0.808884053,1.761873166,3
Cameroon,80.63030243,7.567,0.894742545,3.21424563,3
"Congo, Dem. Rep.",96.38369751,2.231,0.190686122,9.928593199,3
"Congo, Rep.",69.854599,3.518,1.175322337,33.04077573,4
Colombia,30.71820068,92.228,1.240061106,4.222720683,0
Comoros,55.00590134,0.246,0.761069862,1.380363463,3
Cabo Verde,22.99880028,0.61,1.162782152,0.19677971,0
Costa Rica,35.70479965,8.249,0.542645974,0.791419531,0
Cyprus,12.14360046,7.333,1.107522019,0.003136814,0
Czech Republic,14.72529984,104.411,1.734770541,0.13657106,0
Germany,15.79559994,755.362,0.702812693,0.029243452,0
Dominica,8.167099953,0.166,1.215753651,0.0,0
Denmark,35.32870102,34.651,0.315838873,0.526864244,0
Dominican Republic,16.08819962,25.305,1.284740891,0.65140763,0
Algeria,0.193299994,164.309,3.586550821,11.51303695,2
Ecuador,16.3302002,41.818,1.579413398,3.670135286,0
"Egypt, Arab Rep.",4.744400024,251.461,4.120039062,5.285301632,2
Spain,17.38890076,269.654,0.656678583,0.016887184,0
Estonia,28.84219933,17.711,2.343290779,0.378842517,0
Ethiopia,89.92310333,16.185,0.830192954,5.261466388,3
Finland,44.21670151,45.849,0.631199279,0.066706926,0
Fiji,27.87129974,2.124,1.908431307,0.277606132,0
France,15.25259972,331.725,0.441900298,0.006715226,0
Gabon,89.88710022,4.803,1.317086571,13.57460143,3
United Kingdom,11.04500008,380.139,0.496380317,0.605824106,0
Georgia,27.9435997,9.862,2.721993487,0.286516944,0
Ghana,41.97660065,14.48,1.20103822,5.187484911,0
"Gambia, The",52.38359833,0.563,1.508348073,0.921770502,3
Guinea-Bissau,86.78929901,0.309,0.858599972,0.353328608,3
Equatorial Guinea,4.904699802,5.906,1.890881777,26.72995919,4
Greece,17.85910034,71.798,1.177184709,0.069268969,0
Guatemala,64.09770203,19.411,0.99022621,1.007817353,3
Guyana,16.80800056,2.343,2.1674942,1.829353013,0
Honduras,50.06240082,10.471,1.856330201,0.478791881,3
Croatia,32.84730148,17.719,1.136834817,0.412721907,0
Haiti,76.24299622,3.367,0.766441838,0.415250828,3
Hungary,13.53409958,49.628,1.17508584,0.254498211,0
Indonesia,20.86389923,576.584,2.273700403,2.521512898,0
India,31.68919945,2591.324,3.940966621,0.990538522,2
Ireland,10.74440002,38.803,0.514496625,0.145776872,0
"Iran, Islamic Rep.",0.995000005,755.402,5.721244926,5.85673137,2
Iraq,0.477299988,211.27,3.5263066,12.91270634,2
Iceland,78.21350098,3.675,0.336065882,0.0,3
Israel,3.715399981,62.213,0.688947078,0.103094853,0
Italy,17.07430077,348.085,0.632488754,0.072175242,0
Jamaica,8.672400475,8.01,2.117193514,0.17559589,0
Jordan,7.189799786,24.924,2.370194513,0.161755763,0
Japan,7.387700081,1135.688,0.871553405,0.008053802,0
Kazakhstan,1.855599999,319.647,6.259470264,11.78084726,2
Kenya,72.27149963,17.137,0.920531071,0.717164753,3
Kyrgyz Republic,23.21240044,10.169,5.3627258,3.496514162,2
Cambodia,61.83769989,15.479,2.123267571,0.20760914,3
"Korea, Rep.",3.184000015,634.934,1.465967795,0.002884458,0
Kuwait,0.033599999,104.218,2.358816002,10.2586591,0
Lao PDR,41.88410187,32.262,5.967765235,1.218381143,2
Lebanon,4.710000038,27.565,1.818716056,0.0,0
Liberia,87.21330261,1.274,2.244346516,6.238766178,3
St. Lucia,10.21920013,0.362,0.887786201,0.0,0
Sri Lanka,51.4048996,22.973,1.157830135,0.02906457,3
Lesotho,38.41569901,2.426,3.172527777,2.818838384,0
Lithuania,33.49909973,13.669,0.996744638,0.015044273,0
Luxembourg,16.02770042,9.569,0.749972232,0.0,0
Latvia,41.25289917,7.859,0.833201561,0.0,0
Morocco,10.83230019,65.367,2.158605206,0.243400105,0
Moldova,25.74609947,5.878,1.730321028,0.111222512,0
Madagascar,81.56860352,4.188,1.454022833,0.259127991,3
Maldives,1.118299961,1.565,1.416414796,0.00266487,0
Mexico,9.625300407,451.081,1.603144776,2.319032775,0
North Macedonia,20.8715992,6.981,2.107295509,0.632560577,0
Mali,76.60820007,3.273,0.940591769,5.997980223,3
Myanmar,60.11109924,26.096,1.555749819,2.593536821,3
Montenegro,40.60720062,2.123,1.508367441,0.473131805,0
Mongolia,3.358299971,64.508,10.26854492,10.9441858,2
Mozambique,65.94210052,8.383,2.754876762,0.678018907,3
Mauritania,25.13069916,3.935,1.67582789,2.200120973,0
Mauritius,9.198900223,4.902,1.112793744,0.0,0
Malawi,73.22499847,1.47,0.758607791,4.974234647,3
Malaysia,5.310500145,249.144,2.996163865,4.94043868,2
Namibia,30.32699966,4.154,1.277460821,1.113539642,0
Niger,77.96600342,2.094,0.76384066,5.301536041,3
Nigeria,79.65419769,136.078,1.240749073,5.279997118,3
Nicaragua,50.19139862,5.377,1.6928965,0.699026296,3
Netherlands,7.383699894,160.17,0.747340265,0.330971351,0
Norway,60.81380081,43.818,0.34800511,6.03886308,3
Nepal,75.03970337,13.41,1.630076849,0.34396135,3
New Zealand,31.03960037,35.08,0.684778963,0.526517791,0
Oman,0.0015,71.03,3.477388136,23.77686395,4
Pakistan,41.7417984,247.425,2.795107863,1.016804916,0
Panama,24.41119957,12.096,0.737002646,0.005826875,0
Peru,27.8973999,54.21,1.097928106,3.6913148,0
Philippines,23.2201004,138.924,1.425281458,0.591353891,0
Poland,11.26379967,337.706,2.125520553,0.211392451,0
Portugal,27.61380005,51.482,0.831912781,0.047827837,0
Paraguay,59.23139954,8.103,0.822375604,0.0,3
Qatar,0.0,109.245,2.143714249,9.059811754,0
Romania,23.04929924,76.951,1.147415213,0.662784722,0
Russian Federation,3.180500031,1691.36,4.27524348,8.407760355,2
Rwanda,85.69450378,1.08,0.540680179,4.100578442,3
Saudi Arabia,0.015699999,576.758,2.850153797,10.27147342,2
Senegal,36.62269974,9.69,2.402578297,0.873853755,0
Singapore,0.727299988,38.288,0.47566684,0.0,0
Solomon Islands,48.50180054,0.298,0.424443512,7.914189561,3
Sierra Leone,79.62400055,0.988,1.273545484,2.490200031,3
El Salvador,23.21249962,6.018,1.15239931,0.664451101,0
Serbia,21.1446991,46.053,3.642950069,0.575155068,2
Suriname,19.21649933,2.552,2.199247738,17.84610346,4
Slovak Republic,12.42039967,36.088,1.199235588,0.116419159,0
Slovenia,21.0060997,14.488,0.948200721,0.009845958,0
Sweden,52.48279953,41.766,0.291575163,0.119374678,3
Eswatini,66.06520081,0.988,1.03236429,0.013220198,3
Seychelles,1.223199964,0.605,1.497791581,0.023270716,0
Chad,85.25779724,1.008,0.332221132,14.28685878,3
Togo,75.08499908,3.167,2.388709328,5.401489335,3
Thailand,23.72330093,292.453,2.472840879,2.05120795,0
Tajikistan,39.47409821,7.473,2.791636087,2.805044246,0
Timor-Leste,18.38479996,0.52,0.951911976,43.01096499,4
Tonga,1.708899975,0.165,0.974679195,0.0,0
Trinidad and Tobago,0.454600006,37.866,7.191723218,8.977894696,2
Tunisia,11.88679981,30.357,3.213597824,1.685158387,0
Turkey,11.8739996,419.195,2.017701681,0.16102939,0
Tanzania,83.65579987,11.502,1.016715718,0.924826388,3
Uganda,90.33390045,5.385,0.791031595,7.983626776,3
Ukraine,6.907299995,231.694,5.870494426,0.590345906,2
Uruguay,60.72909927,6.252,0.454656746,1.410433071,3
United States,10.10719967,5424.882,0.936681409,0.375612104,1
Uzbekistan,1.487499952,113.938,6.302331089,11.77365049,2
St. Vincent and the Grenadines,4.925000191,0.264,1.073851792,0.0,0
Vietnam,23.49180031,211.774,3.7844005,1.34574978,2
Vanuatu,30.77700043,0.145,0.695169354,0.0,0
South Africa,10.34329987,472.001,5.115333963,1.69361725,2
Zambia,85.104599,6.93,0.923608406,4.339296789,3
Zimbabwe,81.36360168,11.341,2.003068117,2.085151743,3
